"Date","Game","Team","Opponent","Home","Win","PIR","OppPIR","TeamGroup","OppGroup"
2014-11-19,10,"CLE","SAS","1","0",92,109,4,4
2014-11-21,11,"CLE","WAS","0","0",71,107,4,3
2014-11-22,12,"CLE","TOR","1","0",92,114,4,4
2014-11-24,13,"CLE","ORL","1","1",137,61,4,1
2014-11-26,14,"CLE","WAS","1","1",136,73,4,3
2014-11-29,15,"CLE","IND","1","1",127,98,4,2
2014-12-02,16,"CLE","MIL","1","1",125,117,4,2
2014-12-04,17,"CLE","NYK","0","1",97,91,4,1
2014-12-05,18,"CLE","TOR","0","1",119,97,4,4
2014-12-08,19,"CLE","BRK","0","1",137,84,4,1
2014-12-09,20,"CLE","TOR","1","1",122,102,4,4
2014-12-11,21,"CLE","OKC","0","0",88,122,4,4
2014-12-12,22,"CLE","NOP","0","0",122,140,4,4
2014-12-15,23,"CLE","CHO","1","1",118,89,4,3
2014-12-17,24,"CLE","ATL","1","0",95,172,4,3
2014-12-19,25,"CLE","BRK","1","1",107,92,4,1
2014-12-21,26,"CLE","MEM","1","1",124,105,4,1
2014-12-23,27,"CLE","MIN","1","1",132,111,4,3
2014-12-25,28,"CLE","MIA","0","0",97,109,4,2
2014-12-26,29,"CLE","ORL","0","1",118,89,4,1
2014-12-28,30,"CLE","DET","1","0",88,113,4,1
2014-12-30,31,"CLE","ATL","0","0",96,136,4,3
2014-12-31,32,"CLE","MIL","1","0",84,119,4,2
2015-01-02,33,"CLE","CHO","0","1",91,84,4,3
2015-01-04,34,"CLE","DAL","1","0",93,135,4,2
2015-01-05,35,"CLE","PHI","0","0",100,109,4,1
2015-01-07,36,"CLE","HOU","1","0",93,112,4,4
2015-01-09,37,"CLE","GSW","0","0",88,144,4,4
2015-01-11,38,"CLE","SAC","0","0",76,129,4,2
2015-01-13,39,"CLE","PHO","0","0",93,122,4,1
2015-01-15,40,"CLE","LAL","0","1",122,99,4,1
2015-01-16,41,"CLE","LAC","0","1",132,134,4,4
2015-01-19,42,"CLE","CHI","1","1",111,95,4,2
2015-01-21,43,"CLE","UTA","1","1",143,84,4,2
